Slide 001 Tile Summary:
Original Dimensions: 15980x18263
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 499x570
Scaled Tile Size: 32x32
Total Mask: 80.19%, Total Tissue: 19.81%
Tiles: 16x18 = 288
    30 (10.42%) tiles >=80% tissue
    63 (21.88%) tiles >=10% and <80% tissue
    20 ( 6.94%) tiles >0% and <10% tissue
   175 (60.76%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
99,7,3,0.00,NONE,64,192,96,224,32,32,2050,6152,3074,7176,1024,1024,   0,0.16,0.00,0.0000
100,7,4,0.00,NONE,96,192,128,224,32,32,3074,6152,4098,7176,1024,1024,   0,0.16,0.00,0.0000
101,7,5,0.00,NONE,128,192,160,224,32,32,4099,6152,5123,7176,1024,1024,   0,0.16,0.00,0.0000
102,7,6,0.00,NONE,160,192,192,224,32,32,5124,6152,6148,7176,1024,1024,   0,0.16,0.00,0.0000
103,7,7,0.00,NONE,192,192,224,224,32,32,6149,6152,7173,7176,1024,1024,   0,0.16,0.00,0.0000
104,7,8,16.11,MEDIUM,224,192,256,224,32,32,7173,6152,8197,7176,1024,1024, 274,1.00,0.20,0.0946
105,7,9,98.63,HIGH,256,192,288,224,32,32,8198,6152,9222,7176,1024,1024,  79,1.00,1.00,0.8099
106,7,10,73.54,MEDIUM,288,192,320,224,32,32,9223,6152,10247,7176,1024,1024,  48,1.00,0.20,0.5599
107,7,11,46.58,MEDIUM,320,192,352,224,32,32,10248,6152,11272,7176,1024,1024,  69,1.00,0.20,0.3687
108,7,12,0.00,NONE,352,192,384,224,32,32,11272,6152,12296,7176,1024,1024,   0,0.16,0.00,0.0000
109,7,13,11.82,MEDIUM,384,192,416,224,32,32,12297,6152,13321,7176,1024,1024,  44,1.00,0.20,0.0310
110,7,14,7.32,LOW,416,192,448,224,32,32,13322,6152,14346,7176,1024,1024,  70,1.00,0.10,0.0110
111,7,15,0.00,NONE,448,192,480,224,32,32,14347,6152,15371,7176,1024,1024,   0,0.16,0.00,0.0000
112,7,16,0.00,NONE,480,192,499,224,19,32,15372,6152,15980,7176,608,1024,   0,0.16,0.00,0.0000
113,8,1,0.00,NONE,0,224,32,256,32,32,0,7177,1024,8201,1024,1024,   0,0.16,0.00,0.0000
114,8,2,0.00,NONE,32,224,64,256,32,32,1025,7177,2049,8201,1024,1024,   0,0.16,0.00,0.0000
115,8,3,0.00,NONE,64,224,96,256,32,32,2050,7177,3074,8201,1024,1024,   0,0.16,0.00,0.0000
116,8,4,0.00,NONE,96,224,128,256,32,32,3074,7177,4098,8201,1024,1024,   0,0.16,0.00,0.0000
117,8,5,0.00,NONE,128,224,160,256,32,32,4099,7177,5123,8201,1024,1024,   0,0.16,0.00,0.0000
118,8,6,0.00,NONE,160,224,192,256,32,32,5124,7177,6148,8201,1024,1024,   0,0.16,0.00,0.0000
119,8,7,0.00,NONE,192,224,224,256,32,32,6149,7177,7173,8201,1024,1024,   0,0.16,0.00,0.0000
120,8,8,6.84,LOW,224,224,256,256,32,32,7173,7177,8197,8201,1024,1024, 313,1.00,0.10,0.0160
121,8,9,26.66,MEDIUM,256,224,288,256,32,32,8198,7177,9222,8201,1024,1024, 172,1.00,0.20,0.2023
122,8,10,8.69,LOW,288,224,320,256,32,32,9223,7177,10247,8201,1024,1024,  50,1.00,0.10,0.0133
123,8,11,18.46,MEDIUM,320,224,352,256,32,32,10248,7177,11272,8201,1024,1024,  48,1.00,0.20,0.0744
124,8,12,0.00,NONE,352,224,384,256,32,32,11272,7177,12296,8201,1024,1024,   0,0.16,0.00,0.0000
125,8,13,0.00,NONE,384,224,416,256,32,32,12297,7177,13321,8201,1024,1024,   0,0.16,0.00,0.0000
126,8,14,0.00,NONE,416,224,448,256,32,32,13322,7177,14346,8201,1024,1024,   0,0.16,0.00,0.0000
127,8,15,0.00,NONE,448,224,480,256,32,32,14347,7177,15371,8201,1024,1024,   0,0.16,0.00,0.0000
128,8,16,0.00,NONE,480,224,499,256,19,32,15372,7177,15980,8201,608,1024,   0,0.16,0.00,0.0000
129,9,1,0.00,NONE,0,256,32,288,32,32,0,8202,1024,9227,1024,1025,   0,0.16,0.00,0.0000
130,9,2,0.00,NONE,32,256,64,288,32,32,1025,8202,2049,9227,1024,1025,   0,0.16,0.00,0.0000
131,9,3,0.00,NONE,64,256,96,288,32,32,2050,8202,3074,9227,1024,1025,   0,0.16,0.00,0.0000
132,9,4,0.00,NONE,96,256,128,288,32,32,3074,8202,4098,9227,1024,1025,   0,0.16,0.00,0.0000
133,9,5,0.00,NONE,128,256,160,288,32,32,4099,8202,5123,9227,1024,1025,   0,0.16,0.00,0.0000
134,9,6,0.00,NONE,160,256,192,288,32,32,5124,8202,6148,9227,1024,1025,   0,0.16,0.00,0.0000
135,9,7,4.79,LOW,192,256,224,288,32,32,6149,8202,7173,9227,1024,1025,  67,1.00,0.10,0.0047
136,9,8,2.25,LOW,224,256,256,288,32,32,7173,8202,8197,9227,1024,1025, 189,0.49,0.10,0.0012
137,9,9,33.40,MEDIUM,256,256,288,288,32,32,8198,8202,9222,9227,1024,1025, 101,1.00,0.20,0.2542
138,9,10,85.45,HIGH,288,256,320,288,32,32,9223,8202,10247,9227,1024,1025,  34,1.00,1.00,0.7220
139,9,11,21.58,MEDIUM,320,256,352,288,32,32,10248,8202,11272,9227,1024,1025,  48,1.00,0.20,0.0988
140,9,12,0.00,NONE,352,256,384,288,32,32,11272,8202,12296,9227,1024,1025,   0,0.16,0.00,0.0000
141,9,13,0.00,NONE,384,256,416,288,32,32,12297,8202,13321,9227,1024,1025,   0,0.16,0.00,0.0000
142,9,14,0.00,NONE,416,256,448,288,32,32,13322,8202,14346,9227,1024,1025,   0,0.16,0.00,0.0000
143,9,15,0.00,NONE,448,256,480,288,32,32,14347,8202,15371,9227,1024,1025,   0,0.16,0.00,0.0000
144,9,16,0.00,NONE,480,256,499,288,19,32,15372,8202,15980,9227,608,1025,   0,0.16,0.00,0.0000
145,10,1,0.00,NONE,0,288,32,320,32,32,0,9228,1024,10252,1024,1024,   0,0.16,0.00,0.0000
146,10,2,0.00,NONE,32,288,64,320,32,32,1025,9228,2049,10252,1024,1024,   0,0.16,0.00,0.0000
147,10,3,0.00,NONE,64,288,96,320,32,32,2050,9228,3074,10252,1024,1024,   0,0.16,0.00,0.0000
148,10,4,0.00,NONE,96,288,128,320,32,32,3074,9228,4098,10252,1024,1024,   0,0.16,0.00,0.0000
149,10,5,0.00,NONE,128,288,160,320,32,32,4099,9228,5123,10252,1024,1024,   0,0.16,0.00,0.0000
150,10,6,7.62,LOW,160,288,192,320,32,32,5124,9228,6148,10252,1024,1024, 208,1.00,0.10,0.0176
